 info...class... > info...query... 
 Mammalia > Equus asinus 
 Mammalia > Ceratotherium simum simum 
 Mammalia > Myotis brandtii 
 Mammalia > Camelus ferus 
 Mammalia > Bos mutus 
 Actinopteri > Haplochromis burtoni 
 Aves > Pseudopodoces humilis 
 Actinopteri > Austrofundulus limnaeus 
 unk > Thamnophis sirtalis 
 Aves > Apteryx australis mantelli 
 Actinopteri > Pundamilia nyererei 
 Mammalia > Chinchilla lanigera 
 Mammalia > Dipodomys ordii 
 Mammalia > Ochotona princeps 
 Mammalia > Sorex araneus 
 Actinopteri > Clupea harengus 
 Mammalia > Condylura cristata 
 Mammalia > Microcebus murinus 
 Mammalia > Propithecus coquereli 
 Mammalia > Odobenus rosmarus divergens 
 Mammalia > Trichechus manatus latirostris 
 Mammalia > Orcinus orca 
 Mammalia > Cercocebus atys 
 Mammalia > Macaca nemestrina 
 Mammalia > Mandrillus leucophaeus 
 Mammalia > Colobus angolensis palliatus 
 Mammalia > Pteropus vampyrus 
 Mammalia > Camelus dromedarius 
 Mammalia > Camelus bactrianus 
 Mammalia > Bison bison bison 
 Actinopteri > Notothenia coriiceps 
 Aves > Meleagris gallopavo 
 Aves > Haliaeetus leucocephalus 
 Mammalia > Saimiri boliviensis boliviensis 
 Aves > Nestor notabilis 
 Aves > Picoides pubescens 
 Aves > Cuculus canorus 
 Aves > Nipponia nippon 
 Mammalia > Papio anubis 
 Mammalia > Pan paniscus 
 Mammalia > Ursus maritimus 
 Mammalia > Galeopterus variegatus 
 Mammalia > Equus przewalskii 
 Actinopteri > Stegastes partitus 
 Mammalia > Eptesicus fuscus 
 Mammalia > Chlorocebus sabaeus 
 Mammalia > Orycteropus afer afer 
 Chondrichthyes > Callorhinchus milii 
 Mammalia > Lipotes vexillifer 
 Mammalia > Balaenoptera acutorostrata scammoni 
 Mammalia > Chrysochloris asiatica 
 Mammalia > Elephantulus edwardii 
 Aves > Ficedula albicollis 
 Amphibia > Xenopus tropicalis 
 Mammalia > Echinops telfairi 
 Mammalia > Jaculus jaculus 
 Mammalia > Dasypus novemcinctus 
 Amphibia > Xenopus laevis 
 Aves > Gallus gallus 
 Mammalia > Rattus norvegicus 
